model-1724421432,1724421432.955, 0.55, 0.2489, 0.55, 0.2547
model-1724421432,1724421433.031, 0.55, 0.2466, 0.5, 0.2506
model-1724421432,1724421433.104, 0.49, 0.2506, 0.5, 0.2499
model-1724421432,1724421433.185, 0.41, 0.2551, 0.5, 0.2503
model-1724421432,1724421433.262, 0.44, 0.2527, 0.47, 0.2508
model-1724421432,1724421433.337, 0.55, 0.2489, 0.45, 0.2511
model-1724421432,1724421433.428, 0.61, 0.2478, 0.49, 0.2511
model-1724421432,1724421433.513, 0.54, 0.2489, 0.41, 0.2579
model-1724421432,1724421433.595, 0.48, 0.2531, 0.51, 0.2507
model-1724421432,1724421433.676, 0.59, 0.2451, 0.49, 0.2525
model-1724421432,1724421433.747, 0.48, 0.2535, 0.42, 0.2565
model-1724421432,1724421433.832, 0.5, 0.2513, 0.47, 0.2523
model-1724421432,1724421433.911, 0.41, 0.2555, 0.43, 0.2527
model-1724421432,1724421433.994, 0.5, 0.2503, 0.42, 0.252
model-1724421432,1724421434.073, 0.61, 0.2475, 0.57, 0.2486
model-1724421432,1724421434.154, 0.55, 0.249, 0.45, 0.251
model-1724421432,1724421434.228, 0.48, 0.2504, 0.43, 0.2512
model-1724421432,1724421434.304, 0.49, 0.2501, 0.49, 0.25
model-1724421432,1724421434.388, 0.51, 0.2499, 0.49, 0.2498
model-1724421432,1724421434.475, 0.58, 0.2487, 0.4, 0.2515
model-1724421432,1724421434.548, 0.51, 0.2497, 0.52, 0.2495
model-1724421432,1724421434.627, 0.49, 0.2499, 0.5, 0.2495
model-1724421432,1724421434.707, 0.55, 0.249, 0.53, 0.2488
model-1724421432,1724421434.781, 0.44, 0.2504, 0.5, 0.2494
model-1724421432,1724421434.861, 0.53, 0.2487, 0.47, 0.2489
model-1724421432,1724421434.941, 0.6, 0.2494, 0.5, 0.2498
model-1724421432,1724421435.017, 0.46, 0.2505, 0.45, 0.2505
model-1724421432,1724421435.098, 0.56, 0.2481, 0.5, 0.2497
model-1724421432,1724421435.17, 0.51, 0.2503, 0.55, 0.2464
model-1724421432,1724421435.257, 0.45, 0.2533, 0.4, 0.2513
model-1724421432,1724421435.333, 0.48, 0.2506, 0.52, 0.249
model-1724421432,1724421435.416, 0.62, 0.2466, 0.5, 0.2493
model-1724421432,1724421435.495, 0.5, 0.2497, 0.49, 0.2499
model-1724421432,1724421435.577, 0.52, 0.2488, 0.47, 0.2499
model-1724421432,1724421435.661, 0.47, 0.2497, 0.51, 0.2496
model-1724421432,1724421435.736, 0.55, 0.2487, 0.46, 0.25
model-1724421432,1724421435.822, 0.53, 0.2482, 0.43, 0.2492
model-1724421432,1724421435.9, 0.64, 0.2448, 0.55, 0.2473
model-1724421432,1724421435.984, 0.55, 0.2476, 0.49, 0.2478
model-1724421432,1724421436.066, 0.57, 0.2467, 0.47, 0.2524
model-1724421432,1724421436.147, 0.5, 0.2485, 0.43, 0.2576
model-1724421432,1724421436.252, 0.39, 0.257, 0.44, 0.251
model-1724421432,1724421436.387, 0.5, 0.2502, 0.63, 0.2408
model-1724421432,1724421436.509, 0.49, 0.2473, 0.53, 0.2493
model-1724421432,1724421436.612, 0.54, 0.247, 0.6, 0.2435
model-1724421432,1724421436.692, 0.64, 0.2398, 0.49, 0.2497
model-1724421432,1724421436.769, 0.58, 0.2439, 0.55, 0.2436
model-1724421432,1724421436.855, 0.48, 0.2599, 0.56, 0.2401
model-1724421432,1724421436.941, 0.63, 0.2439, 0.55, 0.2466
model-1724421432,1724421437.024, 0.59, 0.2406, 0.43, 0.2662
model-1724421432,1724421437.105, 0.5, 0.2624, 0.52, 0.2549
model-1724421432,1724421437.196, 0.49, 0.2636, 0.56, 0.2424
model-1724421432,1724421437.273, 0.53, 0.247, 0.54, 0.2459
model-1724421432,1724421437.351, 0.51, 0.2479, 0.51, 0.2469
model-1724421432,1724421437.407, 0.61, 0.2422, 0.59, 0.2385
model-1724421432,1724421437.487, 0.54, 0.2452, 0.6, 0.2429
model-1724421432,1724421437.553, 0.52, 0.2528, 0.55, 0.2455
model-1724421432,1724421437.615, 0.55, 0.2445, 0.56, 0.2434
model-1724421432,1724421437.689, 0.64, 0.24, 0.49, 0.2527
model-1724421432,1724421437.744, 0.51, 0.2471, 0.55, 0.2464
model-1724421432,1724421437.799, 0.66, 0.2451, 0.56, 0.2471
model-1724421432,1724421437.857, 0.59, 0.2434, 0.59, 0.243
model-1724421432,1724421437.912, 0.46, 0.2483, 0.62, 0.2428
model-1724421432,1724421437.968, 0.59, 0.2447, 0.57, 0.2427
model-1724421432,1724421438.023, 0.5, 0.2506, 0.55, 0.24
model-1724421432,1724421438.079, 0.6, 0.2434, 0.67, 0.2379
model-1724421432,1724421438.135, 0.6, 0.2424, 0.45, 0.25
model-1724421432,1724421438.19, 0.55, 0.2374, 0.5, 0.2473
model-1724421432,1724421438.246, 0.65, 0.233, 0.62, 0.2341
model-1724421432,1724421438.306, 0.52, 0.2423, 0.78, 0.225
model-1724421432,1724421438.36, 0.58, 0.2421, 0.57, 0.2407
model-1724421432,1724421438.421, 0.59, 0.2392, 0.58, 0.2413
model-1724421432,1724421438.475, 0.5, 0.2516, 0.72, 0.2208
model-1724421432,1724421438.538, 0.52, 0.2383, 0.58, 0.2426
model-1724421432,1724421438.592, 0.64, 0.2356, 0.64, 0.2259
model-1724421432,1724421438.647, 0.59, 0.241, 0.63, 0.225
model-1724421432,1724421438.705, 0.62, 0.2375, 0.57, 0.24
model-1724421432,1724421438.767, 0.51, 0.2506, 0.54, 0.2407
model-1724421432,1724421438.844, 0.57, 0.2393, 0.63, 0.2411
model-1724421432,1724421438.901, 0.6, 0.2322, 0.6, 0.236
model-1724421432,1724421438.957, 0.67, 0.2231, 0.6, 0.229
model-1724421432,1724421439.011, 0.6, 0.2335, 0.63, 0.2309
model-1724421432,1724421439.063, 0.68, 0.223, 0.66, 0.2264
model-1724421432,1724421439.117, 0.56, 0.2387, 0.62, 0.2265
model-1724421432,1724421439.17, 0.5, 0.2554, 0.6, 0.2315
model-1724421432,1724421439.224, 0.67, 0.2163, 0.67, 0.2273
model-1724421432,1724421439.277, 0.67, 0.227, 0.69, 0.22
model-1724421432,1724421439.331, 0.68, 0.2126, 0.65, 0.224
model-1724421432,1724421439.386, 0.57, 0.2468, 0.63, 0.2441
model-1724421432,1724421439.441, 0.6, 0.2378, 0.61, 0.2243
model-1724421432,1724421439.494, 0.58, 0.2436, 0.52, 0.2717
model-1724421432,1724421439.551, 0.59, 0.2387, 0.54, 0.2497
model-1724421432,1724421439.605, 0.61, 0.2425, 0.61, 0.2455
model-1724421432,1724421439.661, 0.62, 0.2284, 0.59, 0.2425
model-1724421432,1724421439.715, 0.64, 0.2378, 0.61, 0.2377
model-1724421432,1724421439.77, 0.61, 0.2343, 0.58, 0.2376
model-1724421432,1724421439.824, 0.55, 0.2405, 0.56, 0.2393
model-1724421432,1724421439.879, 0.52, 0.2496, 0.72, 0.22
model-1724421432,1724421439.933, 0.71, 0.211, 0.62, 0.2158
model-1724421432,1724421439.987, 0.59, 0.2293, 0.56, 0.2396
model-1724421432,1724421440.042, 0.57, 0.2247, 0.66, 0.2368
model-1724421432,1724421440.097, 0.62, 0.2418, 0.59, 0.2349
model-1724421432,1724421440.154, 0.56, 0.2503, 0.56, 0.2435
model-1724421432,1724421440.21, 0.63, 0.2243, 0.56, 0.243
model-1724421432,1724421440.273, 0.64, 0.2333, 0.62, 0.2285
